threshold,pct_escalated,n_rows,cascade_kappa
0.0,0.0,0,0.5311226728515013
0.05,1.4705882352941175,10,0.5463222908478382
0.1,8.676470588235293,59,0.5642897248736665
0.15000000000000002,8.676470588235293,59,0.5642897248736665
0.2,10.735294117647058,73,0.5732480710284326
0.25,10.735294117647058,73,0.5732480710284326
0.30000000000000004,16.61764705882353,113,0.5845154386532752
0.35000000000000003,20.0,136,0.5979189032950698
0.4,20.0,136,0.5979189032950698
0.45,20.0,136,0.5979189032950698
0.5,20.0,136,0.5979189032950698
